Precompiling Pkg...
    936.0 ms  ✓ MozillaCACerts_jll
	Voluntary context switches: 306397
	Involuntary context switches: 138292
	Swaps: 0
	File system inputs: 968
	File system outputs: 1956336
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
